# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2050-01-01
#
# GRDC-No.:              1234567
# River:                 River A
# Station:               Station A
# Country:               Country A
# Latitude (DD):       47.51
# Longitude (DD):      10.05
# Catchment area (km²):      -999.000
# Altitude (m ASL):        -999.000
# Next downstream station:      1234568
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-01 - 1989-12
# No. of years:          60
# Last update:           3050-01-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 365
# DATA
YYYY-MM-DD;hh:mm; Value
1951-05-28;--:--;89.74
1951-05-29;--:--;84.16
1951-05-30;--:--;91.21
1951-05-31;--:--;88.27
1951-06-01;--:--;89.21
1951-06-02;--:--;90.52
1951-06-03;--:--;89.37
1951-06-04;--:--;87.57
1951-06-05;--:--;87.84
1951-06-06;--:--;92.16
1951-06-07;--:--;95.68
1951-06-08;--:--;95.17
1951-06-09;--:--;93.54
1951-06-10;--:--;89.5
1951-06-11;--:--;92.54
1951-06-12;--:--;91.73
1951-06-13;--:--;92.7
1951-06-14;--:--;94.65
1951-06-15;--:--;94.85
1951-06-16;--:--;94.12
1951-06-17;--:--;93.27
1951-06-18;--:--;96.29
1951-06-19;--:--;95.9
1951-06-20;--:--;94.2
1951-06-21;--:--;98.48
1951-06-22;--:--;95.36
1951-06-23;--:--;94.15
1951-06-24;--:--;98.03
1951-06-25;--:--;95.9
1951-06-26;--:--;95.19
1951-06-27;--:--;96.88
1951-06-28;--:--;94.97
1951-06-29;--:--;99.1
1951-06-30;--:--;94.04
1951-07-01;--:--;95.02
1951-07-02;--:--;97.25
1951-07-03;--:--;96.1
1951-07-04;--:--;93.86
1951-07-05;--:--;98.41
1951-07-06;--:--;96.37
1951-07-07;--:--;98.48
1951-07-08;--:--;94.73
1951-07-09;--:--;97.38
1951-07-10;--:--;97.5
1951-07-11;--:--;94.15
1951-07-12;--:--;93.9
1951-07-13;--:--;95.76
1951-07-14;--:--;97.6
1951-07-15;--:--;95.31
1951-07-16;--:--;98.27
1951-07-17;--:--;98.35
1951-07-18;--:--;97.2
1951-07-19;--:--;98.82
1951-07-20;--:--;96.41
1951-07-21;--:--;95.28
1951-07-22;--:--;96.96
1951-07-23;--:--;95.85
1951-07-24;--:--;93.97
1951-07-25;--:--;95.8
1951-07-26;--:--;91.71
1951-07-27;--:--;93.8
1951-07-28;--:--;92.15
1951-07-29;--:--;91.31
1951-07-30;--:--;98.71
1951-07-31;--:--;92.74
1951-08-01;--:--;95.19
1951-08-02;--:--;88.46
1951-08-03;--:--;92
1951-08-04;--:--;93.26
1951-08-05;--:--;91.2
1951-08-06;--:--;89
1951-08-07;--:--;91.85
1951-08-08;--:--;90.52
1951-08-09;--:--;90.14
1951-08-10;--:--;90.81
1951-08-11;--:--;90.55
1951-08-12;--:--;87.14
1951-08-13;--:--;89.7
1951-08-14;--:--;86.1
1951-08-15;--:--;84.78
1951-08-16;--:--;86.92
1951-08-17;--:--;83.63
1951-08-18;--:--;84.24
1951-08-19;--:--;87.95
1951-08-20;--:--;84.74
1951-08-21;--:--;84.71
1951-08-22;--:--;82.09
1951-08-23;--:--;80.61
1951-08-24;--:--;83.31
1951-08-25;--:--;82.35
1951-08-26;--:--;76.81
1951-08-27;--:--;77.92
1951-08-28;--:--;76.44
1951-08-29;--:--;75.1
1951-08-30;--:--;75.63
1951-08-31;--:--;75.63
1951-09-01;--:--;71.04
1951-09-02;--:--;72.84
1951-09-03;--:--;70.98
1951-09-04;--:--;70.48
1951-09-05;--:--;68.9
1951-09-06;--:--;72.63
1951-09-07;--:--;68.7
1951-09-08;--:--;63.95
1951-09-09;--:--;68.94
1951-09-10;--:--;69.26
1951-09-11;--:--;66.68
1951-09-12;--:--;66.36
1951-09-13;--:--;65.49
1951-09-14;--:--;59.99
1951-09-15;--:--;62.1
1951-09-16;--:--;61.3
1951-09-17;--:--;62.42
1951-09-18;--:--;60.33
1951-09-19;--:--;57.96
1951-09-20;--:--;57.14
1951-09-21;--:--;58.85
1951-09-22;--:--;57.51
1951-09-23;--:--;53.27
1951-09-24;--:--;56.53
1951-09-25;--:--;51.1
1951-09-26;--:--;53.89
1951-09-27;--:--;49.04
1951-09-28;--:--;52.31
1951-09-29;--:--;51.56
1951-09-30;--:--;52.49
1951-10-01;--:--;49.33
1951-10-02;--:--;49.13
1951-10-03;--:--;50.8
1951-10-04;--:--;49.29
1951-10-05;--:--;45.37
1951-10-06;--:--;48.21
1951-10-07;--:--;48.08
1951-10-08;--:--;47.6
1951-10-09;--:--;42.46
1951-10-10;--:--;43.53
1951-10-11;--:--;42.07
1951-10-12;--:--;41.76
1951-10-13;--:--;42.06
1951-10-14;--:--;41.6
1951-10-15;--:--;40.83
1951-10-16;--:--;40.1
1951-10-17;--:--;39.08
1951-10-18;--:--;37.56
1951-10-19;--:--;40.7
1951-10-20;--:--;38.28
1951-10-21;--:--;37.17
1951-10-22;--:--;33.61
1951-10-23;--:--;40.31
1951-10-24;--:--;37
1951-10-25;--:--;34.25
1951-10-26;--:--;39.63
1951-10-27;--:--;37.58
1951-10-28;--:--;35.31
1951-10-29;--:--;31.6
1951-10-30;--:--;33.46
1951-10-31;--:--;31.09
1951-11-01;--:--;36.88
1951-11-02;--:--;36.27
1951-11-03;--:--;37.89
1951-11-04;--:--;34.19
1951-11-05;--:--;34.96
1951-11-06;--:--;34.21
1951-11-07;--:--;40.09
1951-11-08;--:--;31.91
1951-11-09;--:--;38.3
1951-11-10;--:--;39.33
1951-11-11;--:--;35.6
1951-11-12;--:--;38.65
1951-11-13;--:--;38.01
1951-11-14;--:--;43.24
1951-11-15;--:--;39.33
1951-11-16;--:--;39.12
1951-11-17;--:--;41.42
1951-11-18;--:--;40.58
1951-11-19;--:--;37.64
1951-11-20;--:--;42.48
1951-11-21;--:--;42.3
1951-11-22;--:--;40
1951-11-23;--:--;44.09
1951-11-24;--:--;45.63
1951-11-25;--:--;45.66
1951-11-26;--:--;45.52
1951-11-27;--:--;46.56
1951-11-28;--:--;41.97
1951-11-29;--:--;46.39
1951-11-30;--:--;46.89
1951-12-01;--:--;48.61
1951-12-02;--:--;48.23
1951-12-03;--:--;45.66
1951-12-04;--:--;47.24
1951-12-05;--:--;46.92
1951-12-06;--:--;49.14
1951-12-07;--:--;46.07
1951-12-08;--:--;51.46
1951-12-09;--:--;53.16
1951-12-10;--:--;49.5
1951-12-11;--:--;51.94
1951-12-12;--:--;49.21
1951-12-13;--:--;53.03
1951-12-14;--:--;55.82
1951-12-15;--:--;53.44
1951-12-16;--:--;53.2
1951-12-17;--:--;55.89
1951-12-18;--:--;55.1
1951-12-19;--:--;59.16
1951-12-20;--:--;61
1951-12-21;--:--;54.8
1951-12-22;--:--;59.68
1951-12-23;--:--;59.57
1951-12-24;--:--;56.52
1951-12-25;--:--;61.07
1951-12-26;--:--;62.52
1951-12-27;--:--;63.31
1951-12-28;--:--;65.4
1951-12-29;--:--;61.34
1951-12-30;--:--;62.88
1951-12-31;--:--;67.23
1952-01-01;--:--;67.03
1952-01-02;--:--;63.33
1952-01-03;--:--;65.97
1952-01-04;--:--;63.79
1952-01-05;--:--;65.89
1952-01-06;--:--;66.18
1952-01-07;--:--;66.82
1952-01-08;--:--;66.32
1952-01-09;--:--;68.07
1952-01-10;--:--;66.59
1952-01-11;--:--;69.17
1952-01-12;--:--;67.76
1952-01-13;--:--;66.92
1952-01-14;--:--;66.76
1952-01-15;--:--;70.95
1952-01-16;--:--;66.32
1952-01-17;--:--;68.23
1952-01-18;--:--;71.78
1952-01-19;--:--;66.9
1952-01-20;--:--;67.02
1952-01-21;--:--;65.01
1952-01-22;--:--;66.27
1952-01-23;--:--;62.68
1952-01-24;--:--;70.5
1952-01-25;--:--;70.33
1952-01-26;--:--;67.13
1952-01-27;--:--;67.76
1952-01-28;--:--;67.22
1952-01-29;--:--;65.05
1952-01-30;--:--;62.65
1952-01-31;--:--;66.7
1952-02-01;--:--;63.54
1952-02-02;--:--;62.43
1952-02-03;--:--;66.53
1952-02-04;--:--;67.75
1952-02-05;--:--;65.27
1952-02-06;--:--;60.62
1952-02-07;--:--;66.73
1952-02-08;--:--;65.63
1952-02-09;--:--;69.83
1952-02-10;--:--;67.19
1952-02-11;--:--;65.48
1952-02-12;--:--;65.98
1952-02-13;--:--;65.86
1952-02-14;--:--;62.45
1952-02-15;--:--;64.82
1952-02-16;--:--;64.22
1952-02-17;--:--;64.61
1952-02-18;--:--;68.2
1952-02-19;--:--;63.85
1952-02-20;--:--;62.43
1952-02-21;--:--;64.65
1952-02-22;--:--;61.56
1952-02-23;--:--;60.62
1952-02-24;--:--;64.09
1952-02-25;--:--;62.87
1952-02-26;--:--;65.66
1952-02-27;--:--;61.96
1952-02-28;--:--;64.3
1952-02-29;--:--;64.64
1952-03-01;--:--;62.25
1952-03-02;--:--;65.61
1952-03-03;--:--;63.88
1952-03-04;--:--;62.11
1952-03-05;--:--;58.99
1952-03-06;--:--;64.61
1952-03-07;--:--;62.69
1952-03-08;--:--;62.04
1952-03-09;--:--;62.52
1952-03-10;--:--;58.7
1952-03-11;--:--;64.49
1952-03-12;--:--;62.64
1952-03-13;--:--;61.5
1952-03-14;--:--;63.48
1952-03-15;--:--;58.17
1952-03-16;--:--;59.93
1952-03-17;--:--;62.08
1952-03-18;--:--;60.25
1952-03-19;--:--;63.65
1952-03-20;--:--;62.3
1952-03-21;--:--;64.34
1952-03-22;--:--;63.31
1952-03-23;--:--;62.95
1952-03-24;--:--;65.96
1952-03-25;--:--;66.83
1952-03-26;--:--;65.35
1952-03-27;--:--;66.73
1952-03-28;--:--;66.9
1952-03-29;--:--;67.63
1952-03-30;--:--;68.42
1952-03-31;--:--;69.92
1952-04-01;--:--;65.75
1952-04-02;--:--;68.89
1952-04-03;--:--;69.77
1952-04-04;--:--;74.5
1952-04-05;--:--;72.58
1952-04-06;--:--;76.27
1952-04-07;--:--;73.12
1952-04-08;--:--;76.53
1952-04-09;--:--;76
1952-04-10;--:--;76.12
1952-04-11;--:--;76.72
1952-04-12;--:--;75.1
1952-04-13;--:--;81.06
1952-04-14;--:--;79.49
1952-04-15;--:--;78.62
1952-04-16;--:--;80.43
1952-04-17;--:--;80.13
1952-04-18;--:--;83.33
1952-04-19;--:--;81.33
1952-04-20;--:--;81.64
1952-04-21;--:--;80.72
1952-04-22;--:--;81.85
1952-04-23;--:--;81.28
1952-04-24;--:--;81.65
1952-04-25;--:--;88.39
1952-04-26;--:--;83.93
1952-04-27;--:--;82.76
1952-04-28;--:--;87.66
1952-04-29;--:--;86.18
1952-04-30;--:--;84.42
1952-05-01;--:--;88.96
1952-05-02;--:--;88.8
1952-05-03;--:--;86.72
1952-05-04;--:--;88.1
1952-05-05;--:--;90.31
1952-05-06;--:--;90.09
1952-05-07;--:--;92.09
1952-05-08;--:--;92.2
1952-05-09;--:--;93.22
1952-05-10;--:--;89.4
1952-05-11;--:--;90.56
1952-05-12;--:--;92.99
1952-05-13;--:--;91.47
1952-05-14;--:--;92.46
1952-05-15;--:--;93.6
1952-05-16;--:--;101.22
1952-05-17;--:--;99.06
1952-05-18;--:--;97.41
1952-05-19;--:--;95.48
1952-05-20;--:--;96.55
1952-05-21;--:--;100.27
1952-05-22;--:--;95.12
1952-05-23;--:--;96.8
1952-05-24;--:--;98.77
1952-05-25;--:--;98.44
1952-05-26;--:--;100.74
1952-05-27;--:--;100.84
1952-05-28;--:--;95.17
1952-05-29;--:--;96.24
1952-05-30;--:--;97.69
1952-05-31;--:--;96.37
1952-06-01;--:--;97.91
1952-06-02;--:--;103.27
1952-06-03;--:--;98.17
1952-06-04;--:--;94.12
1952-06-05;--:--;98.23
1952-06-06;--:--;100.46
1952-06-07;--:--;97.99
1952-06-08;--:--;95.66
1952-06-09;--:--;96.2
1952-06-10;--:--;94.07
1952-06-11;--:--;100.68
1952-06-12;--:--;98.56
1952-06-13;--:--;94.55
1952-06-14;--:--;96.89
1952-06-15;--:--;95.98
1952-06-16;--:--;94.97
1952-06-17;--:--;96.21
1952-06-18;--:--;90.54
1952-06-19;--:--;92.18
1952-06-20;--:--;92.34
1952-06-21;--:--;90.9
1952-06-22;--:--;93.27
1952-06-23;--:--;91.93
1952-06-24;--:--;92.01
1952-06-25;--:--;92.82
1952-06-26;--:--;89.73
1952-06-27;--:--;89.03
1952-06-28;--:--;89.43
1952-06-29;--:--;84.88
1952-06-30;--:--;88.95
1952-07-01;--:--;89.78
1952-07-02;--:--;86.36
1952-07-03;--:--;93.95
1952-07-04;--:--;85.28
1952-07-05;--:--;89.14
1952-07-06;--:--;86.51
1952-07-07;--:--;84.44
1952-07-08;--:--;84.84
1952-07-09;--:--;84.95
1952-07-10;--:--;82.6
1952-07-11;--:--;85.4
1952-07-12;--:--;86.34
1952-07-13;--:--;81.26
1952-07-14;--:--;78.2
1952-07-15;--:--;81.01
1952-07-16;--:--;81.49
1952-07-17;--:--;79.9
1952-07-18;--:--;81.54
1952-07-19;--:--;82.93
1952-07-20;--:--;78.39
1952-07-21;--:--;78.24
1952-07-22;--:--;72.52
1952-07-23;--:--;77.68
1952-07-24;--:--;78.26
1952-07-25;--:--;77.11
1952-07-26;--:--;73.12
1952-07-27;--:--;72.27
1952-07-28;--:--;75.31
1952-07-29;--:--;71.97
1952-07-30;--:--;73.55
1952-07-31;--:--;71.4
1952-08-01;--:--;67.31
1952-08-02;--:--;69.67
1952-08-03;--:--;69.63
1952-08-04;--:--;66.5
1952-08-05;--:--;73.48
1952-08-06;--:--;66.48
1952-08-07;--:--;66.05
1952-08-08;--:--;70.68
1952-08-09;--:--;65.91
1952-08-10;--:--;65.37
1952-08-11;--:--;66.95
1952-08-12;--:--;62.17
1952-08-13;--:--;64.93
1952-08-14;--:--;60.7
1952-08-15;--:--;60.55
1952-08-16;--:--;63.43
1952-08-17;--:--;63.92
1952-08-18;--:--;64.91
1952-08-19;--:--;62.87
1952-08-20;--:--;63.67
1952-08-21;--:--;56.43
1952-08-22;--:--;58.51
1952-08-23;--:--;62.06
1952-08-24;--:--;59.5
1952-08-25;--:--;57.08
1952-08-26;--:--;55.65
1952-08-27;--:--;57.72
1952-08-28;--:--;56.4
1952-08-29;--:--;55.81
1952-08-30;--:--;55.26
1952-08-31;--:--;55.88
1952-09-01;--:--;53.35
1952-09-02;--:--;55.48
1952-09-03;--:--;52.01
1952-09-04;--:--;54.51
1952-09-05;--:--;51.77
1952-09-06;--:--;48.57
1952-09-07;--:--;50.71
1952-09-08;--:--;48.27
1952-09-09;--:--;49.55
1952-09-10;--:--;48.54
1952-09-11;--:--;48.23
1952-09-12;--:--;51.28
1952-09-13;--:--;45.51
1952-09-14;--:--;44.2
1952-09-15;--:--;47.49
1952-09-16;--:--;44.83
1952-09-17;--:--;46.32
1952-09-18;--:--;44.98
1952-09-19;--:--;45.09
1952-09-20;--:--;43.85
1952-09-21;--:--;41.57
1952-09-22;--:--;46.09
1952-09-23;--:--;42.78
1952-09-24;--:--;43.46
1952-09-25;--:--;43.13
1952-09-26;--:--;41.85
1952-09-27;--:--;42.8
1952-09-28;--:--;35.91
1952-09-29;--:--;40.73
1952-09-30;--:--;35.91
1952-10-01;--:--;38.29
1952-10-02;--:--;41.48
1952-10-03;--:--;38.21
1952-10-04;--:--;35.75
1952-10-05;--:--;34.55
1952-10-06;--:--;34.09
1952-10-07;--:--;37.77
1952-10-08;--:--;35.07
1952-10-09;--:--;36.42
1952-10-10;--:--;31.23
1952-10-11;--:--;35.12
1952-10-12;--:--;33.9
1952-10-13;--:--;36.45
1952-10-14;--:--;33.87
1952-10-15;--:--;34.04
1952-10-16;--:--;35.35
1952-10-17;--:--;31.81
1952-10-18;--:--;32.17
1952-10-19;--:--;32.5
1952-10-20;--:--;30.45
1952-10-21;--:--;31.52
1952-10-22;--:--;31.18
1952-10-23;--:--;30.13
1952-10-24;--:--;29.15
1952-10-25;--:--;32.45
1952-10-26;--:--;28.65
1952-10-27;--:--;28.22
1952-10-28;--:--;31.93
1952-10-29;--:--;27.94
1952-10-30;--:--;28.65
1952-10-31;--:--;26.06
1952-11-01;--:--;29.69
1952-11-02;--:--;28.42
1952-11-03;--:--;30.26
1952-11-04;--:--;31.38
1952-11-05;--:--;31.92
1952-11-06;--:--;31.46
1952-11-07;--:--;31.44
1952-11-08;--:--;32.49
1952-11-09;--:--;31.23
1952-11-10;--:--;30.57
1952-11-11;--:--;32.57
1952-11-12;--:--;28.41
1952-11-13;--:--;30.57
1952-11-14;--:--;30.92
1952-11-15;--:--;28.51
1952-11-16;--:--;28.29
1952-11-17;--:--;32.03
1952-11-18;--:--;30.15
1952-11-19;--:--;27.67
1952-11-20;--:--;27.86
1952-11-21;--:--;31.71
1952-11-22;--:--;28.44
1952-11-23;--:--;30.45
1952-11-24;--:--;30.96
1952-11-25;--:--;27.87
1952-11-26;--:--;26.85
1952-11-27;--:--;31.15
1952-11-28;--:--;30.47
1952-11-29;--:--;33.2
1952-11-30;--:--;28.62
1952-12-01;--:--;31.83
1952-12-02;--:--;28.89
1952-12-03;--:--;30.98
1952-12-04;--:--;32.54
1952-12-05;--:--;28.99
1952-12-06;--:--;31.14
1952-12-07;--:--;31.1
1952-12-08;--:--;31.64
1952-12-09;--:--;32.63
1952-12-10;--:--;35.08
1952-12-11;--:--;32.24
1952-12-12;--:--;35.27
1952-12-13;--:--;30.87
1952-12-14;--:--;33.3
1952-12-15;--:--;32.17
1952-12-16;--:--;39.74
1952-12-17;--:--;28.85
1952-12-18;--:--;33.78
1952-12-19;--:--;31.68
1952-12-20;--:--;30.72
1952-12-21;--:--;32.1
1952-12-22;--:--;35.21
1952-12-23;--:--;30.02
1952-12-24;--:--;30.78
1952-12-25;--:--;34.43
1952-12-26;--:--;32.5
1952-12-27;--:--;33.27
1952-12-28;--:--;32.3
1952-12-29;--:--;39.05
1952-12-30;--:--;34.46
1952-12-31;--:--;33.77
1953-01-01;--:--;34.39
1953-01-02;--:--;32.86
1953-01-03;--:--;36.3
1953-01-04;--:--;29.09
1953-01-05;--:--;34.74
1953-01-06;--:--;33.19
1953-01-07;--:--;33.95
1953-01-08;--:--;29.65
1953-01-09;--:--;29.32
1953-01-10;--:--;28.45
1953-01-11;--:--;33.27
1953-01-12;--:--;32.99
1953-01-13;--:--;33
1953-01-14;--:--;34.06
1953-01-15;--:--;25.73
1953-01-16;--:--;31.15
1953-01-17;--:--;31.44
1953-01-18;--:--;31.51
1953-01-19;--:--;32.43
1953-01-20;--:--;30.51
1953-01-21;--:--;30.58
1953-01-22;--:--;32.67
1953-01-23;--:--;33.41
1953-01-24;--:--;29.89
1953-01-25;--:--;31.55
1953-01-26;--:--;30.03
1953-01-27;--:--;27.87
1953-01-28;--:--;33
1953-01-29;--:--;29.28
1953-01-30;--:--;28.85
1953-01-31;--:--;29.21
1953-02-01;--:--;32.67
1953-02-02;--:--;32.59
1953-02-03;--:--;35.88
1953-02-04;--:--;31.86
1953-02-05;--:--;29.95
1953-02-06;--:--;35.8
1953-02-07;--:--;32.02
1953-02-08;--:--;34.5
1953-02-09;--:--;35.42
1953-02-10;--:--;34.23
1953-02-11;--:--;36.67
1953-02-12;--:--;36.75
1953-02-13;--:--;31.33
1953-02-14;--:--;36.1
1953-02-15;--:--;37.37
1953-02-16;--:--;37.19
1953-02-17;--:--;39.46
1953-02-18;--:--;36.06
1953-02-19;--:--;37.05
1953-02-20;--:--;40.02
1953-02-21;--:--;38.58
1953-02-22;--:--;38.4
1953-02-23;--:--;43.23
1953-02-24;--:--;38.52
1953-02-25;--:--;44.14
1953-02-26;--:--;47.15
1953-02-27;--:--;42.62
1953-02-28;--:--;38.92
1953-03-01;--:--;45.87
1953-03-02;--:--;46.43
1953-03-03;--:--;43
1953-03-04;--:--;45.66
1953-03-05;--:--;46.35
1953-03-06;--:--;48.54
1953-03-07;--:--;46.97
1953-03-08;--:--;47.36
1953-03-09;--:--;50.4
1953-03-10;--:--;51.08
1953-03-11;--:--;50.06
1953-03-12;--:--;51.37
1953-03-13;--:--;56.26
1953-03-14;--:--;49.71
1953-03-15;--:--;55.44
1953-03-16;--:--;55.67
1953-03-17;--:--;56.77
1953-03-18;--:--;57.09
1953-03-19;--:--;61
1953-03-20;--:--;58.7
1953-03-21;--:--;58.97
1953-03-22;--:--;59.03
1953-03-23;--:--;62.67
1953-03-24;--:--;64.73
1953-03-25;--:--;63.77
1953-03-26;--:--;65.47
1953-03-27;--:--;66.69
1953-03-28;--:--;67.6
1953-03-29;--:--;67.9
1953-03-30;--:--;70.82
1953-03-31;--:--;69.84
1953-04-01;--:--;75.91
1953-04-02;--:--;67.14
1953-04-03;--:--;74.21
1953-04-04;--:--;74.09
1953-04-05;--:--;74.15
1953-04-06;--:--;75.46
1953-04-07;--:--;79.67
1953-04-08;--:--;73.87
1953-04-09;--:--;76.88
1953-04-10;--:--;79.56
1953-04-11;--:--;82.66
1953-04-12;--:--;82.11
1953-04-13;--:--;82.13
1953-04-14;--:--;87.4
1953-04-15;--:--;82.01
1953-04-16;--:--;80.92
1953-04-17;--:--;82.78
1953-04-18;--:--;84.46
1953-04-19;--:--;82.73
1953-04-20;--:--;86.74
1953-04-21;--:--;86.37
1953-04-22;--:--;87.8
1953-04-23;--:--;88.01
1953-04-24;--:--;89.15
1953-04-25;--:--;87.76
1953-04-26;--:--;89.95
1953-04-27;--:--;88.01
1953-04-28;--:--;87.16
1953-04-29;--:--;90.24
1953-04-30;--:--;88.26
1953-05-01;--:--;87.87
1953-05-02;--:--;88.16
1953-05-03;--:--;95.82
1953-05-04;--:--;91.6
1953-05-05;--:--;93.7
1953-05-06;--:--;91.95
1953-05-07;--:--;93.6
1953-05-08;--:--;92.56
1953-05-09;--:--;93.91
1953-05-10;--:--;97.19
1953-05-11;--:--;96.3
1953-05-12;--:--;91.62
1953-05-13;--:--;95.33
1953-05-14;--:--;95.44
1953-05-15;--:--;94.23
1953-05-16;--:--;95.91
1953-05-17;--:--;96.01
1953-05-18;--:--;96.64
1953-05-19;--:--;97.06
1953-05-20;--:--;96.71
1953-05-21;--:--;98.64
1953-05-22;--:--;95.53
1953-05-23;--:--;96.95
1953-05-24;--:--;99.7
1953-05-25;--:--;95.4
1953-05-26;--:--;99.82
1953-05-27;--:--;98.78
1953-05-28;--:--;98.26
1953-05-29;--:--;98.81
1953-05-30;--:--;95.67
1953-05-31;--:--;98.57
1953-06-01;--:--;101.89
1953-06-02;--:--;100.3
1953-06-03;--:--;100.93
1953-06-04;--:--;99.4
1953-06-05;--:--;99.61
1953-06-06;--:--;95.55
1953-06-07;--:--;101.43
1953-06-08;--:--;99.14
1953-06-09;--:--;99.61
1953-06-10;--:--;98.93
1953-06-11;--:--;98.98
1953-06-12;--:--;96.24
1953-06-13;--:--;100.23
1953-06-14;--:--;95.37
1953-06-15;--:--;97.04
1953-06-16;--:--;96.12
1953-06-17;--:--;97.44
1953-06-18;--:--;92.57
1953-06-19;--:--;93.8
1953-06-20;--:--;98.73
1953-06-21;--:--;91.88
1953-06-22;--:--;98.35
1953-06-23;--:--;94.76
1953-06-24;--:--;92.46
1953-06-25;--:--;95.83
1953-06-26;--:--;96.29
1953-06-27;--:--;98.14
1953-06-28;--:--;94.91
1953-06-29;--:--;93.39
1953-06-30;--:--;89.64
1953-07-01;--:--;93.9
1953-07-02;--:--;95.02
1953-07-03;--:--;92.51
1953-07-04;--:--;89.96
1953-07-05;--:--;92.88
1953-07-06;--:--;94.97
1953-07-07;--:--;91.27
1953-07-08;--:--;93.11
1953-07-09;--:--;92.62
1953-07-10;--:--;87.65
1953-07-11;--:--;90.25
1953-07-12;--:--;90.59
1953-07-13;--:--;89.67
1953-07-14;--:--;88.94
1953-07-15;--:--;86.54
1953-07-16;--:--;88.77
1953-07-17;--:--;89.01
1953-07-18;--:--;88.54
1953-07-19;--:--;88.44
1953-07-20;--:--;88.9
1953-07-21;--:--;84.71
1953-07-22;--:--;83.88
1953-07-23;--:--;84.83
1953-07-24;--:--;83.12
1953-07-25;--:--;84.74
1953-07-26;--:--;84.08
1953-07-27;--:--;83.85
1953-07-28;--:--;82.6
1953-07-29;--:--;86.56
1953-07-30;--:--;80.97
1953-07-31;--:--;83.47
1953-08-01;--:--;83.81
1953-08-02;--:--;82.03
1953-08-03;--:--;84.23
1953-08-04;--:--;82
1953-08-05;--:--;76.8
1953-08-06;--:--;83.02
1953-08-07;--:--;83.06
1953-08-08;--:--;79.69
1953-08-09;--:--;78.3
1953-08-10;--:--;78.83
1953-08-11;--:--;84.73
1953-08-12;--:--;84.21
1953-08-13;--:--;84.55
1953-08-14;--:--;81.67
1953-08-15;--:--;80.79
1953-08-16;--:--;82.71
1953-08-17;--:--;78.07
1953-08-18;--:--;78.92
1953-08-19;--:--;81.07
1953-08-20;--:--;78.41
1953-08-21;--:--;78.99
1953-08-22;--:--;79.52
1953-08-23;--:--;80.09
1953-08-24;--:--;80.28
1953-08-25;--:--;78.98
1953-08-26;--:--;80.69
1953-08-27;--:--;79.03
1953-08-28;--:--;76.51
1953-08-29;--:--;74.32
1953-08-30;--:--;80.82
1953-08-31;--:--;76.35
1953-09-01;--:--;77.04
1953-09-02;--:--;79.53
1953-09-03;--:--;77.32
1953-09-04;--:--;73.24
1953-09-05;--:--;78.21
1953-09-06;--:--;74.51
1953-09-07;--:--;75.91
1953-09-08;--:--;76.98
1953-09-09;--:--;76.62
1953-09-10;--:--;78.86
1953-09-11;--:--;76.69
1953-09-12;--:--;77.53
1953-09-13;--:--;76.25
1953-09-14;--:--;77.84
1953-09-15;--:--;71.69
1953-09-16;--:--;75.91
1953-09-17;--:--;70.61
1953-09-18;--:--;75.35
1953-09-19;--:--;70.72
1953-09-20;--:--;75.59
1953-09-21;--:--;73.42
1953-09-22;--:--;75.56
1953-09-23;--:--;72.93
1953-09-24;--:--;71.67
1953-09-25;--:--;70.47
1953-09-26;--:--;72.08
1953-09-27;--:--;70.88
1953-09-28;--:--;69.91
1953-09-29;--:--;69.81
1953-09-30;--:--;71.56
1953-10-01;--:--;70.61
1953-10-02;--:--;68.46
1953-10-03;--:--;70.9
1953-10-04;--:--;69.13
1953-10-05;--:--;66.02
1953-10-06;--:--;70.31
1953-10-07;--:--;68.58
1953-10-08;--:--;65.91
1953-10-09;--:--;66.8
1953-10-10;--:--;68.33
1953-10-11;--:--;66.59
1953-10-12;--:--;69.66
1953-10-13;--:--;70.27
1953-10-14;--:--;63.35
1953-10-15;--:--;67.25
1953-10-16;--:--;64.79
1953-10-17;--:--;66.81
1953-10-18;--:--;68.01
1953-10-19;--:--;63.23
1953-10-20;--:--;68.18
1953-10-21;--:--;64.84
1953-10-22;--:--;69.68
1953-10-23;--:--;64.99
1953-10-24;--:--;63.09
1953-10-25;--:--;67.24
1953-10-26;--:--;61.55
1953-10-27;--:--;60.73
1953-10-28;--:--;60.33
1953-10-29;--:--;62.15
1953-10-30;--:--;62.78
1953-10-31;--:--;60.2
1953-11-01;--:--;60.14
1953-11-02;--:--;60.41
1953-11-03;--:--;59.84
1953-11-04;--:--;60.42
1953-11-05;--:--;62.24
1953-11-06;--:--;59.91
1953-11-07;--:--;62.03
1953-11-08;--:--;63.4
1953-11-09;--:--;57.95
1953-11-10;--:--;62.12
1953-11-11;--:--;60.87
1953-11-12;--:--;59.13
1953-11-13;--:--;59.52
1953-11-14;--:--;56.69
1953-11-15;--:--;58.19
1953-11-16;--:--;56.69
1953-11-17;--:--;60.73
1953-11-18;--:--;59.56
1953-11-19;--:--;55.63
1953-11-20;--:--;55.36
